Test 2,,Data Template: MDL of Surface Metals,,,,,,,,,,,,,,,,,,,,,
Pure Wafer,,,,,,,,,,,,,,,,,,,,,,,
Diluted Scan Solution Volume / µl:,500,,,,,,,,,,,,,,,,,,,,,,
Edge Exclusion / mm:,4,,,,,,,,,,,,,,,,,,,,,,
,,,All Values given in pg/ml                                                           All Values given in pg/ml                                                           All Values given in pg/ml,,,,,,,,,,,,,,,,,,,,
Element,Date,Scan droplet volume,Li,Na,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Zn,Cu,Sr,Mo,Ba,W,Pb,
Isotope,[dd-mm-yyyy],µl,7,23,-,27,39,40,48,-,52,-,56,-,58,66,65,-,95,-,182,208,
VPD Wafer Day 1_1,6/10/2024,500,0.59,187.02, ,44.47,0.68,93.26,21.59,,2.04, ,<0.000, ,0.09,15.10,12.15,,<0.000,,<0.000,0.37,
VPD Wafer Day 1_2,,500,<0.000,176.34, ,171.97,2.13,82.13,26.90,,0.87, ,1.26, ,<0.000,35.73,35.41,,<0.000,,0.00,0.34,
VPD Wafer Day 1_3,,500,0.07,173.36, ,45.88,3.34,74.14,4.93,,1.74, ,15.97, ,1.18,12.19,23.91,,<0.000,,<0.000,0.28,
VPD Wafer Day 1_4,,500,0.21,184.78, ,65.72,2.66,3.91,0.19,,0.82, ,<0.000, ,0.99,20.17,12.94,,<0.000,,<0.000,0.54,
VPD Wafer Day 1_5,,500,<0.000,152.46, ,79.01,2.10,97.17,11.43,,3.51, ,31.41, ,1.04,13.51,27.89,,0.74,,0.00,0.14,
VPD Wafer Day 1_6,,500,<0.000,163.23, ,102.04,5.58,47.43,6.63,,8.11, ,23.26, ,2.87,14.82,11.07,,<0.000,,<0.000,0.28,
VPD Wafer Day 1_7,,500,<0.000,152.29, ,115.63,1.56,41.32,22.41,,2.34, ,<0.000, ,1.18,16.04,29.56,,0.74,,<0.000,0.65,
VPD Wafer Day 2_1,6/11/2024,500,<0.000,200.82,,<0.000,4.22,14.28,<0.000,,3.47,,1.85,,2.75,72.13,36.99,,0.22,,0.57,0.77,
VPD Wafer Day 2_2,,500,<0.000,178.99,,<0.000,3.13,11.83,<0.000,,0.59,,1.83,,1.98,17.30,25.46,,<0.000,,0.29,0.57,
VPD Wafer Day 2_3,,500,<0.000,158.26,,<0.000,2.38,64.80,<0.000,,1.59,,11.39,,4.52,16.55,34.22,,<0.000,,<0.000,0.82,
VPD Wafer Day 2_4,,500,<0.000,198.78,,77.34,3.29,2.29,11.83,,0.99,,0.89,,1.10,13.30,26.06,,<0.000,,0.29,0.54,
VPD Wafer Day 2_5,,500,<0.000,164.97,,108.55,2.34,<0.000,23.47,,0.50,,2.32,,1.76,18.38,32.16,,<0.000,,0.14,0.74,
VPD Wafer Day 2_6,,500,<0.000,146.50,,28.13,2.36,48.66,2.93,,<0.000,,3.21,,2.64,9.84,7.41,,<0.000,,<0.000,1.14,
VPD Wafer Day 2_7,,500,<0.000,138.05,,175.58,7.45,70.17,36.08,,3.95,,14.55,,5.89,13.63,26.35,,<0.000,,<0.000,0.63,
VPD Wafer Day 3_1,6/12/2024,500,0.20,198.83,,132.98,3.53,25.81,27.25,,4.15,,21.12,,2.53,13.63,20.17,,0.23,,0.45,0.77,
VPD Wafer Day 3_2,,500,0.14,166.06,,15.28,4.25,32.92,3.55,,1.01,,4.52,,0.73,9.78,32.64,,<0.000,,<0.000,0.62,
VPD Wafer Day 3_3,,500,0.04,159.20,,55.43,3.13,81.56,26.21,,2.10,,2.48,,4.57,1571.72,19.38,,<0.000,,<0.000,0.92,
VPD Wafer Day 3_4,,500,<0.000,153.98,,78.47,25.02,270.83,192.10,,32.70,,186.51,,46.03,48.70,11.70,,0.82,,1.36,0.89,
VPD Wafer Day 3_5,,500,<0.000,166.69,,48.01,1.24,<0.000,11.43,,6.35,,28.72,,4.52,4.42,9.04,,<0.000,,<0.000,0.56,
VPD Wafer Day 3_6,,500,<0.000,105.96,,54.43,3.20,55.68,0.16,,1.50,,25.37,,6.95,15.51,11.97,,<0.000,,0.00,0.39,
VPD Wafer Day 3_7,,500,<0.000,222.97,,777.48,69.62,281.72,438.22,,4.57,,799.15,,2.72,929.39,12.28,,<0.000,,0.00,1.30,
,,,,,,,,,,,,,,,,,,,,,,,
,M,g/mol,6.94,22.9898 ,24.3050 ,26.9815 ,39.0983 ,40.0780 ,47.8670 ,50.9415 ,51.9961 ,54.9380 ,55.8450 ,58.9332 ,58.6934 ,65.3800 ,63.5460 ,87.6200 ,95.9500 ,137.3270 ,183.8400 ,207.2000 ,
,NA,1/mol,6.02214E+23,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,MDL_Wafer,pg/ml,0.60,76.31,,509.91,45.39,231.59,319.33,,21.05,,563.93,,29.62,1152.32,29.27,,0.89,,1.27,0.87,
,Conv.factor,ml/(µl*pg*cm²),129579.3672,39116.56517,,33329.48594,23000.50918,22438.26559,18787.07268,,17295.15883,,16103.1571,,15321.66833,13754.6774,14151.6509,,9372.389872,,4891.649305,4340.158341,
,,,,,,,,,,,,,,,,,,,,,,,
,MDL_Wafer,at/cm²,3.91E+07,1.49E+09,,8.50E+09,5.22E+08,2.60E+09,3.00E+09,,1.82E+08,,4.54E+09,,2.27E+08,7.92E+09,2.07E+08,,4.16E+06,,3.10E+06,1.88E+06,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
